DDDDate,Dividends
end_of_dataMMMDate,Dividends
2016-02-10,1.110000
2015-11-18,1.025000
2015-08-19,1.025000
2015-05-20,1.025000
2015-02-11,1.025000
2014-11-19,0.855000
2014-08-20,0.855000
2014-05-21,0.855000
2014-02-12,0.855000
2013-11-20,0.635000
2013-08-21,0.635000
2013-05-22,0.635000
2013-02-13,0.635000
2012-11-20,0.590000
2012-08-22,0.590000
2012-05-16,0.590000
2012-02-15,0.590000
2011-11-22,0.550000
2011-08-17,0.550000
2011-05-18,0.550000
2011-02-16,0.550000
2010-11-17,0.525000
2010-08-18,0.525000
2010-05-19,0.525000
2010-02-17,0.525000
2009-11-18,0.510000
2009-08-19,0.510000
2009-05-20,0.510000
2009-02-18,0.510000
2008-11-19,0.500000
2008-08-20,0.500000
2008-05-21,0.500000
2008-02-20,0.500000
2007-11-20,0.480000
2007-08-22,0.480000
2007-05-16,0.480000
2007-02-21,0.480000
2006-11-21,0.460000
2006-08-23,0.460000
2006-05-17,0.460000
2006-02-22,0.460000
2005-11-22,0.420000
2005-08-17,0.420000
2005-05-18,0.420000
2005-02-23,0.420000
2004-11-17,0.360000
2004-08-18,0.360000
2004-05-19,0.360000
2004-02-18,0.360000
2003-11-19,0.330000
2003-08-20,0.330000
2003-05-21,0.330000
2003-02-19,0.330000
2002-11-20,0.310000
2002-08-21,0.310000
2002-05-22,0.310000
2002-02-20,0.310000
2001-11-20,0.300000
2001-08-22,0.300000
2001-05-16,0.300000
2001-02-21,0.300000
2000-11-21,0.290000
2000-08-23,0.290000
2000-05-17,0.290000
2000-02-23,0.290000
1999-11-17,0.280000
1999-08-18,0.280000
1999-05-19,0.280000
1999-02-17,0.280000
1998-11-18,0.275000
1998-08-19,0.275000
1998-05-20,0.275000
1998-02-18,0.275000
1997-11-19,0.265000
1997-08-20,0.265000
1997-05-21,0.265000
1997-02-19,0.265000
1996-11-20,0.245000
1996-08-21,0.245000
1996-07-16,1.200000
1996-05-22,0.235000
1996-02-21,0.235000
